# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Balibrea\Documents\FPGA\cores\ZPU_flex\imp_2\SDBootstrap.csv
# Generated on: Tue Jul 31 14:41:39 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
DRAM_CKE,Output,PIN_N3,1,B1_N0,PIN_N3,,,,
DRAM_CLK,Output,PIN_U4,1,B1_N1,PIN_U4,,,,
DRAM_CS_N,Output,PIN_T6,1,B1_N1,PIN_T6,,,,
DRAM_DQ[15],Bidir,PIN_T2,1,B1_N0,PIN_T2,,,,
DRAM_DQ[14],Bidir,PIN_T1,1,B1_N0,PIN_T1,,,,
DRAM_DQ[13],Bidir,PIN_R2,1,B1_N0,PIN_R2,,,,
DRAM_DQ[12],Bidir,PIN_R1,1,B1_N0,PIN_R1,,,,
DRAM_DQ[11],Bidir,PIN_P2,1,B1_N0,PIN_P2,,,,
DRAM_DQ[10],Bidir,PIN_P1,1,B1_N0,PIN_P1,,,,
DRAM_DQ[9],Bidir,PIN_N2,1,B1_N0,PIN_N2,,,,
DRAM_DQ[8],Bidir,PIN_N1,1,B1_N0,PIN_N1,,,,
DRAM_DQ[7],Bidir,PIN_Y2,1,B1_N1,PIN_Y2,,,,
DRAM_DQ[6],Bidir,PIN_Y1,1,B1_N1,PIN_Y1,,,,
DRAM_DQ[5],Bidir,PIN_W2,1,B1_N1,PIN_W2,,,,
DRAM_DQ[4],Bidir,PIN_W1,1,B1_N1,PIN_W1,,,,
DRAM_DQ[3],Bidir,PIN_V2,1,B1_N1,PIN_V2,,,,
DRAM_DQ[2],Bidir,PIN_V1,1,B1_N1,PIN_V1,,,,
DRAM_DQ[1],Bidir,PIN_U2,1,B1_N1,PIN_U2,,,,
DRAM_DQ[0],Bidir,PIN_U1,1,B1_N1,PIN_U1,,,,
DRAM_LDQM,Output,PIN_R7,1,B1_N0,PIN_R7,,,,
DRAM_RAS_N,Output,PIN_T5,1,B1_N1,PIN_T5,,,,
DRAM_UDQM,Output,PIN_M5,1,B1_N0,PIN_M5,,,,
DRAM_WE_N,Output,PIN_R8,1,B1_N0,PIN_R8,,,,
EXT_CLOCK,Input,PIN_M21,6,B6_N0,PIN_M21,3.3-V LVTTL,,,
FL_ADDR[21],Output,PIN_R13,7,B7_N0,PIN_R13,,,,
FL_ADDR[20],Output,PIN_U13,7,B7_N1,PIN_U13,,,,
FL_ADDR[19],Output,PIN_V14,7,B7_N1,PIN_V14,,,,
FL_ADDR[18],Output,PIN_U14,7,B7_N0,PIN_U14,,,,
FL_ADDR[17],Output,PIN_AA20,7,B7_N0,PIN_AA20,,,,
FL_ADDR[16],Output,PIN_AB12,7,B7_N1,PIN_AB12,,,,
FL_ADDR[15],Output,PIN_AA12,7,B7_N1,PIN_AA12,,,,
FL_ADDR[14],Output,PIN_AB13,7,B7_N1,PIN_AB13,,,,
FL_ADDR[13],Output,PIN_AA13,7,B7_N1,PIN_AA13,,,,
FL_ADDR[12],Output,PIN_AB14,7,B7_N1,PIN_AB14,,,,
FL_ADDR[11],Output,PIN_T12,7,B7_N1,PIN_T12,,,,
FL_ADDR[10],Output,PIN_R12,7,B7_N1,PIN_R12,,,,
FL_ADDR[9],Output,PIN_Y13,7,B7_N1,PIN_Y13,,,,
FL_ADDR[8],Output,PIN_R14,7,B7_N0,PIN_R14,,,,
FL_ADDR[7],Output,PIN_W15,7,B7_N0,PIN_W15,,,,
FL_ADDR[6],Output,PIN_V15,7,B7_N0,PIN_V15,,,,
FL_ADDR[5],Output,PIN_U15,7,B7_N0,PIN_U15,,,,
FL_ADDR[4],Output,PIN_T15,7,B7_N0,PIN_T15,,,,
FL_ADDR[3],Output,PIN_R15,7,B7_N0,PIN_R15,,,,
FL_ADDR[2],Output,PIN_Y16,7,B7_N0,PIN_Y16,,,,
FL_ADDR[1],Output,PIN_AA14,7,B7_N1,PIN_AA14,,,,
FL_ADDR[0],Output,PIN_AB20,7,B7_N0,PIN_AB20,,,,
FL_CE_N,Output,PIN_AB15,7,B7_N1,PIN_AB15,,,,
FL_DQ[7],Bidir,PIN_AA19,7,B7_N0,PIN_AA19,,,,
FL_DQ[6],Bidir,PIN_AB19,7,B7_N0,PIN_AB19,,,,
FL_DQ[5],Bidir,PIN_AA18,7,B7_N0,PIN_AA18,,,,
FL_DQ[4],Bidir,PIN_AB18,7,B7_N0,PIN_AB18,,,,
FL_DQ[3],Bidir,PIN_AA17,7,B7_N1,PIN_AA17,,,,
FL_DQ[2],Bidir,PIN_AB17,7,B7_N1,PIN_AB17,,,,
FL_DQ[1],Bidir,PIN_AA16,7,B7_N1,PIN_AA16,,,,
FL_DQ[0],Bidir,PIN_AB16,7,B7_N1,PIN_AB16,,,,
FL_OE_N,Output,PIN_AA15,7,B7_N1,PIN_AA15,,,,
FL_RST_N,Output,PIN_W14,7,B7_N1,PIN_W14,,,,
FL_WE_N,Output,PIN_Y14,7,B7_N0,PIN_Y14,,,,
GPIO_0[35],Bidir,PIN_L18,5,B5_N1,PIN_L18,3.3-V LVTTL,,,
GPIO_0[34],Bidir,PIN_L19,5,B5_N1,PIN_L19,3.3-V LVTTL,,,
GPIO_0[33],Bidir,PIN_K20,5,B5_N1,PIN_K20,3.3-V LVTTL,,,
GPIO_0[32],Bidir,PIN_J18,5,B5_N1,PIN_J18,3.3-V LVTTL,,,
GPIO_0[31],Bidir,PIN_J20,5,B5_N1,PIN_J20,3.3-V LVTTL,,,
GPIO_0[30],Bidir,PIN_J19,5,B5_N1,PIN_J19,3.3-V LVTTL,,,
GPIO_0[29],Bidir,PIN_K22,5,B5_N1,PIN_K22,3.3-V LVTTL,,,
GPIO_0[28],Bidir,PIN_K21,5,B5_N1,PIN_K21,3.3-V LVTTL,,,
GPIO_0[27],Bidir,PIN_J22,5,B5_N1,PIN_J22,3.3-V LVTTL,,,
GPIO_0[26],Bidir,PIN_J21,5,B5_N1,PIN_J21,3.3-V LVTTL,,,
GPIO_0[25],Bidir,PIN_G22,5,B5_N1,PIN_G22,3.3-V LVTTL,,,
GPIO_0[24],Bidir,PIN_G21,5,B5_N1,PIN_G21,3.3-V LVTTL,,,
GPIO_0[23],Bidir,PIN_F22,5,B5_N0,PIN_F22,3.3-V LVTTL,,,
GPIO_0[22],Bidir,PIN_F21,5,B5_N0,PIN_F21,3.3-V LVTTL,,,
GPIO_0[21],Bidir,PIN_E22,5,B5_N0,PIN_E22,3.3-V LVTTL,,,
GPIO_0[20],Bidir,PIN_E21,5,B5_N0,PIN_E21,3.3-V LVTTL,,,
GPIO_0[19],Bidir,PIN_D22,5,B5_N0,PIN_D22,3.3-V LVTTL,,,
GPIO_0[18],Bidir,PIN_D21,5,B5_N0,PIN_D21,3.3-V LVTTL,,,
GPIO_0[17],Bidir,PIN_C22,5,B5_N0,PIN_C22,3.3-V LVTTL,,,
GPIO_0[16],Bidir,PIN_C21,5,B5_N0,PIN_C21,3.3-V LVTTL,,,
GPIO_0[15],Bidir,PIN_B20,4,B4_N0,PIN_B20,3.3-V LVTTL,,,
GPIO_0[14],Bidir,PIN_A20,4,B4_N0,PIN_A20,3.3-V LVTTL,,,
GPIO_0[13],Bidir,PIN_B19,4,B4_N0,PIN_B19,3.3-V LVTTL,,,
GPIO_0[12],Bidir,PIN_A19,4,B4_N0,PIN_A19,3.3-V LVTTL,,,
GPIO_0[11],Bidir,PIN_B18,4,B4_N0,PIN_B18,3.3-V LVTTL,,,
GPIO_0[10],Bidir,PIN_A18,4,B4_N0,PIN_A18,3.3-V LVTTL,,,
GPIO_0[9],Bidir,PIN_B17,4,B4_N1,PIN_B17,3.3-V LVTTL,,,
GPIO_0[8],Bidir,PIN_A17,4,B4_N1,PIN_A17,3.3-V LVTTL,,,
GPIO_0[7],Bidir,PIN_B16,4,B4_N1,PIN_B16,3.3-V LVTTL,,,
GPIO_0[6],Bidir,PIN_A16,4,B4_N1,PIN_A16,3.3-V LVTTL,,,
GPIO_0[5],Bidir,PIN_B15,4,B4_N1,PIN_B15,3.3-V LVTTL,,,
GPIO_0[4],Bidir,PIN_A15,4,B4_N1,PIN_A15,3.3-V LVTTL,,,
GPIO_0[3],Bidir,PIN_B14,4,B4_N1,PIN_B14,3.3-V LVTTL,,,
GPIO_0[2],Bidir,PIN_A14,4,B4_N1,PIN_A14,3.3-V LVTTL,,,
GPIO_0[1],Bidir,PIN_B13,4,B4_N1,PIN_B13,3.3-V LVTTL,,,
GPIO_0[0],Bidir,PIN_A13,4,B4_N1,PIN_A13,3.3-V LVTTL,,,
GPIO_1[35],Bidir,PIN_P18,6,B6_N0,PIN_P18,3.3-V LVTTL,,,
GPIO_1[34],Bidir,PIN_P17,6,B6_N0,PIN_P17,3.3-V LVTTL,,,
GPIO_1[33],Bidir,PIN_N15,6,B6_N0,PIN_N15,3.3-V LVTTL,,,
GPIO_1[32],Bidir,PIN_P15,6,B6_N0,PIN_P15,3.3-V LVTTL,,,
GPIO_1[31],Bidir,PIN_N21,6,B6_N0,PIN_N21,3.3-V LVTTL,,,
GPIO_1[30],Bidir,PIN_N22,6,B6_N0,PIN_N22,3.3-V LVTTL,,,
GPIO_1[29],Bidir,PIN_H18,5,B5_N0,PIN_H18,3.3-V LVTTL,,,
GPIO_1[28],Bidir,PIN_J15,5,B5_N1,PIN_J15,3.3-V LVTTL,,,
GPIO_1[27],Bidir,PIN_H17,5,B5_N0,PIN_H17,3.3-V LVTTL,,,
GPIO_1[26],Bidir,PIN_G17,5,B5_N0,PIN_G17,3.3-V LVTTL,,,
GPIO_1[25],Bidir,PIN_G18,5,B5_N0,PIN_G18,3.3-V LVTTL,,,
GPIO_1[24],Bidir,PIN_G20,5,B5_N0,PIN_G20,3.3-V LVTTL,,,
GPIO_1[23],Bidir,PIN_E18,5,B5_N0,PIN_E18,3.3-V LVTTL,,,
GPIO_1[22],Bidir,PIN_E19,5,B5_N0,PIN_E19,3.3-V LVTTL,,,
GPIO_1[21],Bidir,PIN_F20,5,B5_N0,PIN_F20,3.3-V LVTTL,,,
GPIO_1[20],Bidir,PIN_E20,5,B5_N0,PIN_E20,3.3-V LVTTL,,,
GPIO_1[19],Bidir,PIN_D20,5,B5_N0,PIN_D20,3.3-V LVTTL,,,
GPIO_1[18],Bidir,PIN_D19,5,B5_N0,PIN_D19,3.3-V LVTTL,,,
GPIO_1[17],Bidir,PIN_C20,5,B5_N0,PIN_C20,3.3-V LVTTL,,,
GPIO_1[16],Bidir,PIN_C19,5,B5_N0,PIN_C19,3.3-V LVTTL,,,
GPIO_1[15],Bidir,PIN_C18,4,B4_N0,PIN_C18,3.3-V LVTTL,,,
GPIO_1[14],Bidir,PIN_C17,4,B4_N0,PIN_C17,3.3-V LVTTL,,,
GPIO_1[13],Bidir,PIN_D16,4,B4_N0,PIN_D16,3.3-V LVTTL,,,
GPIO_1[12],Bidir,PIN_D15,4,B4_N0,PIN_D15,3.3-V LVTTL,,,
GPIO_1[11],Bidir,PIN_D14,4,B4_N1,PIN_D14,3.3-V LVTTL,,,
GPIO_1[10],Bidir,PIN_C14,4,B4_N0,PIN_C14,3.3-V LVTTL,,,
GPIO_1[9],Bidir,PIN_F13,4,B4_N1,PIN_F13,3.3-V LVTTL,,,
GPIO_1[8],Bidir,PIN_F12,4,B4_N1,PIN_F12,3.3-V LVTTL,,,
GPIO_1[7],Bidir,PIN_G16,4,B4_N0,PIN_G16,3.3-V LVTTL,,,
GPIO_1[6],Bidir,PIN_F15,4,B4_N0,PIN_F15,3.3-V LVTTL,,,
GPIO_1[5],Bidir,PIN_E15,4,B4_N0,PIN_E15,3.3-V LVTTL,,,
GPIO_1[4],Bidir,PIN_E14,4,B4_N1,PIN_E14,3.3-V LVTTL,,,
GPIO_1[3],Bidir,PIN_G15,4,B4_N0,PIN_G15,3.3-V LVTTL,,,
GPIO_1[2],Bidir,PIN_H14,4,B4_N0,PIN_H14,3.3-V LVTTL,,,
GPIO_1[1],Bidir,PIN_H13,4,B4_N1,PIN_H13,3.3-V LVTTL,,,
GPIO_1[0],Bidir,PIN_H12,4,B4_N1,PIN_H12,3.3-V LVTTL,,,
HEX0[6],Output,PIN_E2,2,B2_N1,PIN_E2,3.3-V LVTTL,,,
HEX0[5],Output,PIN_F1,2,B2_N1,PIN_F1,3.3-V LVTTL,,,
HEX0[4],Output,PIN_F2,2,B2_N1,PIN_F2,3.3-V LVTTL,,,
HEX0[3],Output,PIN_H1,2,B2_N1,PIN_H1,3.3-V LVTTL,,,
HEX0[2],Output,PIN_H2,2,B2_N1,PIN_H2,3.3-V LVTTL,,,
HEX0[1],Output,PIN_J1,2,B2_N1,PIN_J1,3.3-V LVTTL,,,
HEX0[0],Output,PIN_J2,2,B2_N1,PIN_J2,3.3-V LVTTL,,,
HEX1[6],Output,PIN_D1,2,B2_N0,PIN_D1,3.3-V LVTTL,,,
HEX1[5],Output,PIN_D2,2,B2_N0,PIN_D2,3.3-V LVTTL,,,
HEX1[4],Output,PIN_G3,2,B2_N0,PIN_G3,3.3-V LVTTL,,,
HEX1[3],Output,PIN_H4,2,B2_N0,PIN_H4,3.3-V LVTTL,,,
HEX1[2],Output,PIN_H5,2,B2_N0,PIN_H5,3.3-V LVTTL,,,
HEX1[1],Output,PIN_H6,2,B2_N0,PIN_H6,3.3-V LVTTL,,,
HEX1[0],Output,PIN_E1,2,B2_N1,PIN_E1,3.3-V LVTTL,,,
HEX2[6],Output,PIN_D3,2,B2_N0,PIN_D3,3.3-V LVTTL,,,
HEX2[5],Output,PIN_E4,2,B2_N0,PIN_E4,3.3-V LVTTL,,,
HEX2[4],Output,PIN_E3,2,B2_N0,PIN_E3,3.3-V LVTTL,,,
HEX2[3],Output,PIN_C1,2,B2_N0,PIN_C1,3.3-V LVTTL,,,
HEX2[2],Output,PIN_C2,2,B2_N0,PIN_C2,3.3-V LVTTL,,,
HEX2[1],Output,PIN_G6,2,B2_N0,PIN_G6,3.3-V LVTTL,,,
HEX2[0],Output,PIN_G5,2,B2_N0,PIN_G5,3.3-V LVTTL,,,
HEX3[6],Output,PIN_D4,2,B2_N0,PIN_D4,3.3-V LVTTL,,,
HEX3[5],Output,PIN_F3,2,B2_N0,PIN_F3,3.3-V LVTTL,,,
HEX3[4],Output,PIN_L8,2,B2_N1,PIN_L8,3.3-V LVTTL,,,
HEX3[3],Output,PIN_J4,2,B2_N1,PIN_J4,3.3-V LVTTL,,,
HEX3[2],Output,PIN_D6,2,B2_N0,PIN_D6,3.3-V LVTTL,,,
HEX3[1],Output,PIN_D5,2,B2_N0,PIN_D5,3.3-V LVTTL,,,
HEX3[0],Output,PIN_F4,2,B2_N0,PIN_F4,3.3-V LVTTL,,,
I2C_SCLK,Output,PIN_A3,3,B3_N1,PIN_A3,3.3-V LVTTL,,,
I2C_SDAT,Bidir,PIN_B3,3,B3_N1,PIN_B3,3.3-V LVTTL,,,
KEY[3],Input,PIN_T21,6,B6_N0,PIN_T21,3.3-V LVTTL,,,
KEY[2],Input,PIN_T22,6,B6_N0,PIN_T22,3.3-V LVTTL,,,
KEY[1],Input,PIN_R21,6,B6_N0,PIN_R21,3.3-V LVTTL,,,
KEY[0],Input,PIN_R22,6,B6_N0,PIN_R22,3.3-V LVTTL,,,
LEDG[7],Output,PIN_Y21,6,B6_N1,PIN_Y21,3.3-V LVTTL,,,
LEDG[6],Output,PIN_Y22,6,B6_N1,PIN_Y22,3.3-V LVTTL,,,
LEDG[5],Output,PIN_W21,6,B6_N1,PIN_W21,3.3-V LVTTL,,,
LEDG[4],Output,PIN_W22,6,B6_N1,PIN_W22,3.3-V LVTTL,,,
LEDG[3],Output,PIN_V21,6,B6_N1,PIN_V21,3.3-V LVTTL,,,
LEDG[2],Output,PIN_V22,6,B6_N1,PIN_V22,3.3-V LVTTL,,,
LEDG[1],Output,PIN_U21,6,B6_N1,PIN_U21,3.3-V LVTTL,,,
LEDG[0],Output,PIN_U22,6,B6_N1,PIN_U22,3.3-V LVTTL,,,
LEDR[9],Output,PIN_R17,6,B6_N1,PIN_R17,3.3-V LVTTL,,,
LEDR[8],Output,PIN_R18,6,B6_N0,PIN_R18,3.3-V LVTTL,,,
LEDR[7],Output,PIN_U18,6,B6_N1,PIN_U18,3.3-V LVTTL,,,
LEDR[6],Output,PIN_Y18,6,B6_N1,PIN_Y18,3.3-V LVTTL,,,
LEDR[5],Output,PIN_V19,6,B6_N1,PIN_V19,3.3-V LVTTL,,,
LEDR[4],Output,PIN_T18,6,B6_N1,PIN_T18,3.3-V LVTTL,,,
LEDR[3],Output,PIN_Y19,6,B6_N1,PIN_Y19,3.3-V LVTTL,,,
LEDR[2],Output,PIN_U19,6,B6_N1,PIN_U19,3.3-V LVTTL,,,
LEDR[1],Output,PIN_R19,6,B6_N0,PIN_R19,3.3-V LVTTL,,,
LEDR[0],Output,PIN_R20,6,B6_N0,PIN_R20,3.3-V LVTTL,,,
PS2_CLK,Bidir,PIN_H15,4,B4_N0,PIN_H15,3.3-V LVTTL,,,
PS2_DAT,Bidir,PIN_J14,4,B4_N0,PIN_J14,3.3-V LVTTL,,,
SD_CLK,Output,PIN_V20,6,B6_N1,PIN_V20,,,,
SD_CMD,Output,PIN_Y20,6,B6_N1,PIN_Y20,,,,
SD_DAT,Input,PIN_W20,6,B6_N1,PIN_W20,,,,
SD_DAT3,Output,PIN_U20,6,B6_N1,PIN_U20,,,,
SRAM_ADDR[17],Output,PIN_Y5,8,B8_N1,PIN_Y5,,,,
SRAM_ADDR[16],Output,PIN_Y6,8,B8_N1,PIN_Y6,,,,
SRAM_ADDR[15],Output,PIN_T7,8,B8_N1,PIN_T7,,,,
SRAM_ADDR[14],Output,PIN_R10,8,B8_N0,PIN_R10,,,,
SRAM_ADDR[13],Output,PIN_U10,8,B8_N0,PIN_U10,,,,
SRAM_ADDR[12],Output,PIN_Y10,8,B8_N0,PIN_Y10,,,,
SRAM_ADDR[11],Output,PIN_T11,8,B8_N0,PIN_T11,,,,
SRAM_ADDR[10],Output,PIN_R11,8,B8_N0,PIN_R11,,,,
SRAM_ADDR[9],Output,PIN_W11,8,B8_N0,PIN_W11,,,,
SRAM_ADDR[8],Output,PIN_V11,8,B8_N0,PIN_V11,,,,
SRAM_ADDR[7],Output,PIN_AB11,8,B8_N0,PIN_AB11,,,,
SRAM_ADDR[6],Output,PIN_AA11,8,B8_N0,PIN_AA11,,,,
SRAM_ADDR[5],Output,PIN_AB10,8,B8_N0,PIN_AB10,,,,
SRAM_ADDR[4],Output,PIN_AA5,8,B8_N1,PIN_AA5,,,,
SRAM_ADDR[3],Output,PIN_AB4,8,B8_N1,PIN_AB4,,,,
SRAM_ADDR[2],Output,PIN_AA4,8,B8_N1,PIN_AA4,,,,
SRAM_ADDR[1],Output,PIN_AB3,8,B8_N1,PIN_AB3,,,,
SRAM_ADDR[0],Output,PIN_AA3,8,B8_N1,PIN_AA3,,,,
SRAM_CE_N,Output,PIN_AB5,8,B8_N1,PIN_AB5,,,,
SRAM_DQ[15],Bidir,PIN_U8,8,B8_N1,PIN_U8,,,,
SRAM_DQ[14],Bidir,PIN_V8,8,B8_N1,PIN_V8,,,,
SRAM_DQ[13],Bidir,PIN_W8,8,B8_N1,PIN_W8,,,,
SRAM_DQ[12],Bidir,PIN_R9,8,B8_N0,PIN_R9,,,,
SRAM_DQ[11],Bidir,PIN_U9,8,B8_N0,PIN_U9,,,,
SRAM_DQ[10],Bidir,PIN_V9,8,B8_N1,PIN_V9,,,,
SRAM_DQ[9],Bidir,PIN_W9,8,B8_N0,PIN_W9,,,,
SRAM_DQ[8],Bidir,PIN_Y9,8,B8_N0,PIN_Y9,,,,
SRAM_DQ[7],Bidir,PIN_AB9,8,B8_N0,PIN_AB9,,,,
SRAM_DQ[6],Bidir,PIN_AA9,8,B8_N0,PIN_AA9,,,,
SRAM_DQ[5],Bidir,PIN_AB8,8,B8_N0,PIN_AB8,,,,
SRAM_DQ[4],Bidir,PIN_AA8,8,B8_N0,PIN_AA8,,,,
SRAM_DQ[3],Bidir,PIN_AB7,8,B8_N1,PIN_AB7,,,,
SRAM_DQ[2],Bidir,PIN_AA7,8,B8_N1,PIN_AA7,,,,
SRAM_DQ[1],Bidir,PIN_AB6,8,B8_N1,PIN_AB6,,,,
SRAM_DQ[0],Bidir,PIN_AA6,8,B8_N1,PIN_AA6,,,,
SRAM_LB_N,Output,PIN_Y7,8,B8_N1,PIN_Y7,,,,
SRAM_OE_N,Output,PIN_T8,8,B8_N1,PIN_T8,,,,
SRAM_UB_N,Output,PIN_W7,8,B8_N1,PIN_W7,,,,
SRAM_WE_N,Output,PIN_AA10,8,B8_N0,PIN_AA10,,,,
SW[9],Input,PIN_L2,2,B2_N1,PIN_L2,3.3-V LVTTL,,,
SW[8],Input,PIN_M1,1,B1_N0,PIN_M1,3.3-V LVTTL,,,
SW[7],Input,PIN_M2,1,B1_N0,PIN_M2,3.3-V LVTTL,,,
SW[6],Input,PIN_U11,8,B8_N0,PIN_U11,3.3-V LVTTL,,,
SW[5],Input,PIN_U12,8,B8_N0,PIN_U12,3.3-V LVTTL,,,
SW[4],Input,PIN_W12,7,B7_N1,PIN_W12,3.3-V LVTTL,,,
SW[3],Input,PIN_V12,7,B7_N1,PIN_V12,3.3-V LVTTL,,,
SW[2],Input,PIN_M22,6,B6_N0,PIN_M22,3.3-V LVTTL,,,
SW[1],Input,PIN_L21,5,B5_N1,PIN_L21,3.3-V LVTTL,,,
SW[0],Input,PIN_L22,5,B5_N1,PIN_L22,3.3-V LVTTL,,,
TCK,Input,PIN_C7,3,B3_N1,PIN_C7,3.3-V LVTTL,,,
TCS,Input,PIN_D8,3,B3_N1,PIN_D8,3.3-V LVTTL,,,
TDI,Input,PIN_E8,3,B3_N1,PIN_E8,3.3-V LVTTL,,,
TDO,Output,PIN_D7,3,B3_N1,PIN_D7,3.3-V LVTTL,,,
UART_RXD,Input,PIN_F14,4,B4_N1,PIN_F14,3.3-V LVTTL,,,
UART_TXD,Output,PIN_G12,4,B4_N1,PIN_G12,3.3-V LVTTL,,,
VGA_B[3],Output,PIN_B10,3,B3_N0,PIN_B10,3.3-V LVTTL,,,
VGA_B[2],Output,PIN_A10,3,B3_N0,PIN_A10,3.3-V LVTTL,,,
VGA_B[1],Output,PIN_D11,3,B3_N0,PIN_D11,3.3-V LVTTL,,,
VGA_B[0],Output,PIN_A9,3,B3_N0,PIN_A9,3.3-V LVTTL,,,
VGA_G[3],Output,PIN_A8,3,B3_N0,PIN_A8,3.3-V LVTTL,,,
VGA_G[2],Output,PIN_B9,3,B3_N0,PIN_B9,3.3-V LVTTL,,,
VGA_G[1],Output,PIN_C10,3,B3_N0,PIN_C10,3.3-V LVTTL,,,
VGA_G[0],Output,PIN_B8,3,B3_N0,PIN_B8,3.3-V LVTTL,,,
VGA_HS,Output,PIN_A11,3,B3_N0,PIN_A11,3.3-V LVTTL,,,
VGA_R[3],Output,PIN_B7,3,B3_N1,PIN_B7,3.3-V LVTTL,,,
VGA_R[2],Output,PIN_A7,3,B3_N1,PIN_A7,3.3-V LVTTL,,,
VGA_R[1],Output,PIN_C9,3,B3_N1,PIN_C9,3.3-V LVTTL,,,
VGA_R[0],Output,PIN_D9,3,B3_N0,PIN_D9,3.3-V LVTTL,,,
VGA_VS,Output,PIN_B11,3,B3_N0,PIN_B11,3.3-V LVTTL,,,
